State,German Nationals Net Migration,Foreign Nationals Net Migration,Net Migration
Baden-Württemberg,-20481,104102,83621
Bayern,-14452,113576,99124
Berlin,-20379,53144,32765
Brandenburg,13921,15865,29786
Bremen,-2130,11016,8886
Hamburg,-5814,25701,19887
Hessen,-13189,62284,49095
Mecklenburg-Vorpommern,5707,10383,16090
Niedersachsen,5149,57003,62152
Nordrhein-Westfalen,-29202,151578,122376
Rheinland-Pfalz,-1167,34052,32885
Saarland,-966,9784,8818
Sachsen,2820,33411,36231
Sachsen-Anhalt,1997,14099,16096
Schleswig-Holstein,6175,24969,31144
Thüringen,-1668,15676,14008
,,,
