Country,2023
Afghanistan,7.0
Albania,78.1
Algeria,25.1
American Samoa,..
Andorra,..
Angola,93.6
Antigua and Barbuda,..
Argentina,71.5
Armenia,82.0
Aruba,..
Australia,86.2
Austria,84.8
Azerbaijan,92.0
"Bahamas, The",82.2
Bahrain,50.7
Bangladesh,46.2
Barbados,88.7
Belarus,82.8
Belgium,85.0
Belize,65.1
Benin,82.5
Bermuda,..
Bhutan,87.4
Bolivia,73.0
Bosnia and Herzegovina,67.7
Botswana,86.3
Brazil,72.8
British Virgin Islands,..
Brunei Darussalam,76.3
Bulgaria,80.1
Burkina Faso,79.0
Burundi,99.9
Cabo Verde,78.8
Cambodia,84.2
Cameroon,87.7
Canada,88.2
Cayman Islands,..
Central African Republic,81.4
Chad,67.2
Channel Islands,78.2
Chile,72.8
China,84.0
Colombia,67.9
Comoros,59.7
"Congo, Dem. Rep.",90.8
"Congo, Rep.",97.2
Costa Rica,63.4
Cote d'Ivoire,78.2
Croatia,83.1
Cuba,58.6
Curacao,..
Cyprus,85.5
Czechia,75.7
Denmark,87.8
Djibouti,40.1
Dominica,..
Dominican Republic,68.0
Ecuador,68.3
"Egypt, Arab Rep.",23.1
El Salvador,60.3
Equatorial Guinea,86.7
Eritrea,83.4
Estonia,86.1
Eswatini,86.7
Ethiopia,87.0
Faroe Islands,..
Fiji,50.6
Finland,90.8
France,87.8
French Polynesia,78.7
Gabon,69.2
"Gambia, The",85.9
Georgia,75.2
Germany,84.2
Ghana,90.1
Gibraltar,..
Greece,76.6
Greenland,..
Grenada,..
Guam,81.9
Guatemala,50.4
Guinea,66.5
Guinea-Bissau,77.0
Guyana,63.4
Haiti,86.8
Honduras,66.0
"Hong Kong SAR, China",81.8
Hungary,78.6
Iceland,89.3
India,42.6
Indonesia,65.0
"Iran, Islamic Rep.",20.4
Iraq,15.8
Ireland,85.0
Isle of Man,..
Israel,88.5
Italy,70.2
Jamaica,81.0
Japan,76.7
Jordan,22.4
Kazakhstan,84.8
Kenya,95.9
Kiribati,..
"Korea, Dem. People's Rep.",87.4
"Korea, Rep.",76.0
Kosovo,..
Kuwait,55.4
Kyrgyz Republic,67.7
Lao PDR,88.5
Latvia,81.5
Lebanon,42.0
Lesotho,78.8
Liberia,88.9
Libya,56.7
Liechtenstein,..
Lithuania,83.9
Luxembourg,86.3
"Macao SAR, China",86.1
Madagascar,94.0
Malawi,85.6
Malaysia,66.2
Maldives,54.1
Mali,62.9
Malta,78.1
Marshall Islands,..
Mauritania,46.1
Mauritius,62.8
Mexico,60.5
"Micronesia, Fed. Sts.",..
Moldova,98.4
Monaco,..
Mongolia,77.9
Montenegro,77.2
Morocco,29.0
Mozambique,98.4
Myanmar,59.4
Namibia,87.7
Nauru,..
Nepal,53.2
Netherlands,87.6
New Caledonia,85.9
New Zealand,88.0
Nicaragua,59.9
Niger,73.8
Nigeria,79.2
North Macedonia,67.9
Northern Mariana Islands,..
Norway,89.9
Oman,36.2
Pakistan,30.2
Palau,..
Panama,65.9
Papua New Guinea,96.5
Paraguay,72.2
Peru,82.9
Philippines,64.6
Poland,77.1
Portugal,86.9
Puerto Rico,61.0
Qatar,66.4
Romania,68.6
Russian Federation,78.9
Rwanda,82.9
Samoa,61.5
San Marino,..
Sao Tome and Principe,53.6
Saudi Arabia,43.2
Senegal,58.8
Serbia,75.0
Seychelles,..
Sierra Leone,91.5
Singapore,80.9
Sint Maarten (Dutch part),..
Slovak Republic,83.6
Slovenia,85.2
Solomon Islands,95.9
Somalia,44.7
South Africa,81.5
South Sudan,98.9
Spain,83.7
Sri Lanka,44.6
St. Kitts and Nevis,..
St. Lucia,85.1
St. Martin (French part),..
St. Vincent and the Grenadines,73.1
Sudan,41.1
Suriname,69.7
Sweden,89.9
Switzerland,85.7
Syrian Arab Republic,22.2
Tajikistan,61.7
Tanzania,89.8
Thailand,78.3
Timor-Leste,84.7
Togo,94.0
Tonga,64.7
Trinidad and Tobago,71.9
Tunisia,38.9
Turkiye,49.4
Turkmenistan,105.7
Turks and Caicos Islands,..
Tuvalu,..
Uganda,93.4
Ukraine,..
United Arab Emirates,59.5
United Kingdom,87.5
United States,83.9
Uruguay,77.0
Uzbekistan,54.8
Vanuatu,77.1
"Venezuela, RB",55.5
Viet Nam,88.0
Virgin Islands (U.S.),68.1
West Bank and Gaza,..
"Yemen, Rep.",8.4
Zambia,77.5
Zimbabwe,83.2
"


",
