year,id,price
2001,UKI,26.6
2001,UKJ,12.625
2001,UKK,12.5
2001,UKH,20.0
2001,UKF,20.0
2001,UKG,13.5
2001,UKE,11.5
2001,UKD,16.0
2001,UKC,9.5
2001,UKL,10.5
2001,UKM,17.0
2001,UKN,13.0
2002,UKI,28.799999
2002,UKJ,12.5
2002,UKK,12.5
2002,UKH,17.43
2002,UKF,20.0
2002,UKG,13.625
2002,UKE,12.0
2002,UKD,14.5
2002,UKC,11.0
2002,UKL,12.5
2002,UKM,14.0
2002,UKN,13.0
2003,UKI,30.0
2003,UKJ,14.125
2003,UKK,14.45
2003,UKH,18.0
2003,UKF,20.0
2003,UKG,21.0
2003,UKE,13.5
2003,UKD,15.0
2003,UKC,11.0
2003,UKL,11.5
2003,UKM,13.0
2003,UKN,16.0
2004,UKI,32.0
2004,UKJ,17.75
2004,UKK,13.5
2004,UKH,20.0
2004,UKF,18.5
2004,UKG,22.0
2004,UKE,14.75
2004,UKD,22.5
2004,UKC,13.0
2004,UKL,22.0
2004,UKM,13.5
2004,UKN,23.5
2005,UKI,34.669998
2005,UKJ,19.0
2005,UKK,14.5
2005,UKH,24.5
2005,UKF,17.0
2005,UKG,27.25
2005,UKE,15.0
2005,UKD,27.0
2005,UKC,14.0
2005,UKL,19.299999
2005,UKM,14.0
2005,UKN,25.0
2006,UKI,36.830002
2006,UKJ,24.0
2006,UKK,21.0
2006,UKH,22.25
2006,UKF,18.0
2006,UKG,26.75
2006,UKE,15.0
2006,UKD,28.0
2006,UKC,15.0
2006,UKL,17.5
2006,UKM,14.75
2006,UKN,27.0
2007,UKI,38.0
2007,UKJ,26.0
2007,UKK,20.0
2007,UKH,26.0
2007,UKF,19.059999
2007,UKG,27.4
2007,UKE,16.0
2007,UKD,30.0
2007,UKC,17.5
2007,UKL,18.5
2007,UKM,15.0
2007,UKN,27.0
2008,UKI,40.0
2008,UKJ,26.0
2008,UKK,22.0
2008,UKH,26.549999
2008,UKF,20.0
2008,UKG,28.8999995
2008,UKE,17.0
2008,UKD,30.24
2008,UKC,17.0
2008,UKL,20.5
2008,UKM,16.0
2008,UKN,27.0
2009,UKI,45.0
2009,UKJ,27.0
2009,UKK,23.0
2009,UKH,28.0
2009,UKF,21.0
2009,UKG,31.5
2009,UKE,18.0
2009,UKD,32.66
2009,UKC,17.875
2009,UKL,20.75
2009,UKM,17.0
2009,UKN,30.0
2010,UKI,49.5
2010,UKJ,28.0
2010,UKK,23.5
2010,UKH,31.0
2010,UKF,21.540001
2010,UKG,32.75
2010,UKE,18.0
2010,UKD,34.0
2010,UKC,20.0
2010,UKL,21.9
2010,UKM,17.75
2010,UKN,32.5
2011,UKI,49.5
2011,UKJ,29.0
2011,UKK,28.75
2011,UKH,33.0
2011,UKF,22.2
2011,UKG,34.349998
2011,UKE,20.0
2011,UKD,36.0
2011,UKC,18.0
2011,UKL,22.6
2011,UKM,18.0
2011,UKN,34.0
2012,UKI,49.0
2012,UKJ,30.0
2012,UKK,29.0
2012,UKH,32.5
2012,UKF,22.4
2012,UKG,35.0
2012,UKE,18.299999
2012,UKD,37.5
2012,UKC,23.75
2012,UKL,23.0
2012,UKM,18.4
2012,UKN,33.0
2013,UKI,49.0
2013,UKJ,30.0
2013,UKK,29.0
2013,UKH,32.5
2013,UKF,22.369999999999997
2013,UKG,36.5
2013,UKE,19.15
2013,UKD,37.5
2013,UKC,26.6
2013,UKL,24.0
2013,UKM,19.0
2013,UKN,35.0
2014,UKI,50.400002
2014,UKJ,30.0
2014,UKK,29.25
2014,UKH,33.0
2014,UKF,23.66
2014,UKG,35.0
2014,UKE,20.0
2014,UKD,38.0
2014,UKC,36.0
2014,UKL,24.6000005
2014,UKM,19.0
2014,UKN,35.0
2015,UKI,53.0
2015,UKJ,30.0
2015,UKK,29.700001
2015,UKH,33.0
2015,UKF,24.825001
2015,UKG,40.0
2015,UKE,23.75
2015,UKD,42.0
2015,UKC,28.325
2015,UKL,24.6000005
2015,UKM,19.5
2015,UKN,34.0
2016,UKI,52.0
2016,UKJ,32.5
2016,UKK,28.25
2016,UKH,33.5
2016,UKF,25.18
2016,UKG,44.0
2016,UKE,25.0
2016,UKD,42.0
2016,UKC,28.5
2016,UKL,26.2
2016,UKM,19.799999
2016,UKN,37.0
2017,UKI,55.0
2017,UKJ,35.0
2017,UKK,29.15
2017,UKH,34.5
2017,UKF,30.894999499999997
2017,UKG,44.299999
2017,UKE,25.0
2017,UKD,44.0
2017,UKC,28.5
2017,UKL,27.0
2017,UKM,20.0
2017,UKN,39.0
2018,UKI,58.0
2018,UKJ,38.5
2018,UKK,28.0
2018,UKH,35.25
2018,UKF,36.424999
2018,UKG,46.5
2018,UKE,28.0
2018,UKD,44.0
2018,UKC,31.0
2018,UKL,30.0
2018,UKM,21.0
2018,UKN,39.0
2019,UKI,64.950001
2019,UKJ,41.5
2019,UKK,29.85
2019,UKH,36.625
2019,UKF,45.0
2019,UKG,48.5
2019,UKE,29.84
2019,UKD,45.0
2019,UKC,32.5
2019,UKL,30.0
2019,UKM,24.7
2019,UKN,43.0
2020,UKI,64.620003
2020,UKJ,43.5
2020,UKK,30.9
2020,UKH,37.5
2020,UKF,48.549999
2020,UKG,48.6000005
2020,UKE,31.030001
2020,UKD,44.5
2020,UKC,45.0
2020,UKL,34.0
2020,UKM,25.0
2020,UKN,43.0
2021,UKI,72.5
2021,UKJ,43.450001
2021,UKK,31.049999
2021,UKH,38.75
2021,UKF,50.620001
2021,UKG,49.700001
2021,UKE,30.0
2021,UKD,47.0
2021,UKC,43.5
2021,UKL,35.0
2021,UKM,25.0
2021,UKN,42.5
2022,UKI,66.919998
2022,UKJ,46.400002
2022,UKK,31.700001
2022,UKH,39.125
2022,UKF,51.620001
2022,UKG,53.0
2022,UKE,36.5
2022,UKD,48.0
2022,UKC,46.0
2022,UKL,36.0
2022,UKM,30.0
2022,UKN,40.0
2023,UKI,70.0
2023,UKJ,48.5
2023,UKK,35.0
2023,UKH,41.0
2023,UKF,51.25
2023,UKG,57.0
2023,UKE,55.0
2023,UKD,52.0
2023,UKC,52.0
2023,UKL,45.0
2023,UKM,32.0
2023,UKN,52.5
2024,UKI,74.0
2024,UKJ,52.0
2024,UKK,37.5
2024,UKH,45.0
2024,UKF,52.5
2024,UKG,59.5
2024,UKE,61.0
2024,UKD,57.0
2024,UKC,59.0
2024,UKL,49.0
2024,UKM,33.5
2024,UKN,57.5
