country_gender_gap,ISO3,gender_gap,year_gender_gap
Albania,ALB,18.26389,2011
Algeria,DZA,17.91667,2012
Argentina,ARG,14.17004,2013
Armenia,ARM,17.2875,2008
Australia,AUS,9.44444,2006
Austria,AUT,9.01558,2009
Azerbaijan,AZE,16.52778,2008
Belarus,BLR,9.65278,2015
Belgium,BEL,5.83334,2013
Bhutan,BTN,9.09722,2015
Bolivia,BOL,10.98564,2001
Brazil,BRA,6.47538,2017
Bulgaria,BGR,9.23611,2010
Cambodia,KHM,11.25,2004
Cameroon,CMR,11.25302,2014
Canada,CAN,5,2016
Chile,CHL,12.24959,2015
China,CHN,9.44444,2018
Colombia,COL,2.09288,2017
Costa Rica,CRI,13.76713,2017
Cuba,CUB,8.52976,2016
Denmark,DNK,4.375,2009
Dominican Republic,DOM,12.92326,2016
Ecuador,ECU,15.02313,2012
"Egypt, Arab Rep.",EGY,19.93055,2015
El Salvador,SLV,13.18347,2017
Estonia,EST,6.45833,2010
Ethiopia,ETH,12.70834,2013
Fiji,FJI,9.96336,2016
Finland,FIN,4.7125,2010
France,FRA,6.2785,2010
Germany,DEU,6,2013
Ghana,GHA,10.90278,2009
Greece,GRC,11.11111,2014
Guatemala,GTM,16.87736,2017
Honduras,HND,12.98178,2009
"Hong Kong SAR, China",HKG,7.5,2013
Hungary,HUN,9.29714,2010
"Iran, Islamic Rep.",IRN,15.83334,2009
Iraq,IRQ,19.93055,2007
Ireland,IRL,11.59723,2005
Italy,ITA,12,2014
Japan,JPN,12.01389,2016
Kazakhstan,KAZ,12.70833,2018
"Korea, Rep.",KOR,9.72222,2019
Kyrgyz Republic,KGZ,7.29167,2015
Lao PDR,LAO,3.54102,2017
Latvia,LVA,9.16667,2003
Lesotho,LSO,9.375,2003
Liberia,LBR,3.71578,2010
Lithuania,LTU,9.72362,2003
Luxembourg,LUX,7.36111,2014
Malawi,MWI,7.43056,2005
Malaysia,MYS,13.125,2003
Malta,MLT,11.73611,2002
Mauritius,MUS,14.16666,2003
Mexico,MEX,16.65658,2019
Moldova,MDA,8.86591,2012
Mongolia,MNG,11.69496,2019
Morocco,MAR,17.84722,2012
Netherlands,NLD,5.48611,2012
New Zealand,NZL,7.5,2010
North Macedonia,MKD,10,2015
Norway,NOR,2.975,2011
Oman,OMN,11.38889,2008
Pakistan,PAK,18.05555,2007
Panama,PAN,10.3798,2011
Paraguay,PRY,10.25461,2016
Peru,PER,14.61426,2010
Poland,POL,8.33333,2013
Portugal,PRT,7.56995,2015
Qatar,QAT,5.97222,2013
Romania,ROU,9.65278,2012
Russian Federation,RUS,10.27778,2014
Serbia,SRB,10.47718,2015
Slovenia,SVN,9.44445,2001
South Africa,ZAF,9.09723,2010
Spain,ESP,10.34722,2010
Sweden,SWE,3.21404,2011
Switzerland,CHE,6.02916,2016
Tanzania,TZA,12.22222,2014
Thailand,THA,8.08333,2015
Tunisia,TUN,19.23611,2006
Turkiye,TUR,15.44542,2015
Uganda,UGA,7.08333,2018
United Kingdom,GBR,5.6875,2015
United States,USA,5.66666,2019
Uruguay,URY,11.49737,2013
West Bank and Gaza,PSE,17.15278,2013
