country,valuegross,valuepercent
Australia,49.4,4.7
Austria,4.5,1.2
Belgium,5.1,1.1
Canada,36.3,2.4
Denmark,6.7,2.7
Estonia,0.5,1.4
Finland,2.9,1.3
France,19.2,0.8
Germany,117.6,3.3
Hungary,0.5,0.2
Ireland,3.5,1.7
Italy,19.6,0.9
Japan,33.2,0.7
Korea,7.8,0.5
Mexico,19.7,1.0
Netherlands,7.7,1.0
New Zealand,6.4,4.1
Norway,5.9,1.8
Poland,25.3,2.8
Portugal,4.3,1.5
Slovenia,1.2,2.0
Spain,22.1,1.4
Sweden,11.3,2.6
United Kingdom,60.2,2.5
United States,621.7,3.7
OECD 25,1 093,1.9
